,truth,injected,class
0,5.63,5.63,0.0
1,5.63,6.585129691336589,1.0
2,5.75,5.75,0.0
3,5.75,5.75,0.0
4,5.75,5.75,0.0
5,5.75,5.75,0.0
6,5.75,5.75,0.0
7,5.88,5.88,0.0
8,5.75,5.75,0.0
9,5.75,5.75,0.0
10,5.75,5.75,0.0
11,5.75,5.75,0.0
12,5.75,5.75,0.0
13,5.75,5.75,0.0
14,5.75,5.75,0.0
15,5.75,5.75,0.0
16,5.75,5.75,0.0
17,5.75,5.75,0.0
18,5.75,5.75,0.0
19,5.75,6.586693134704744,1.0
20,5.75,5.75,0.0
21,5.63,5.63,0.0
22,5.63,5.63,0.0
23,5.63,5.63,0.0
24,5.63,5.63,0.0
25,5.63,4.732666672528142,1.0
26,5.63,5.63,0.0
27,5.75,5.75,0.0
28,5.75,5.75,0.0
