INFO:root:[40, 1, 1, 'PI', 200]
INFO:root:[40, 1, 1, 'PI', 200]
INFO:root:[40, 1, 1, 'PI', 200]
INFO:root:[40, 1, 1, 'PI', 200]
INFO:root:[40, 1, 1, 'PI', 200]
INFO:root:[40, 1, 1, 'PI', 200]
DEBUG:root:f[16.454, 31753.165, 0.427, 0.005], 1604.1058752536774
INFO:root:[40, 3, 2, 'LCB', 100]
DEBUG:root:f[16.469, 31753.165, 0.427, 0.005], 608.0514965057373
INFO:root:[50, 3, 2, 'LCB', 200]
DEBUG:root:f[16.451, 31753.165, 0.427, 0.005], 1376.6998407840729
INFO:root:[10, 0, 4, 'EI', 200]
INFO:root:[30, 1, 0, 'LCB', 100]
DEBUG:root:f[16.45, 31753.165, 0.427, 0.007], 559.6375732421875
INFO:root:[40, 3, 1, 'PI', 100]
DEBUG:root:f[16.462, 31753.165, 0.427, 0.005], 571.8149089813232
INFO:root:[50, 3, 4, 'EI', 100]
