injected,truth
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
16.091,5.75
5.88,5.88
5.75,5.75
5.75,5.75
5.75,5.75
79.166,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.63,5.63
50.506,5.63
65.399,5.63
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.5,5.5
42.79,5.5
5.5,5.5
5.63,5.63
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.88,5.88
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
73.818,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.88,5.88
5.88,5.88
5.88,5.88
5.88,5.88
5.88,5.88
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.88,5.88
5.88,5.88
58.288,5.88
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.88,5.88
6.13,6.13
6.13,6.13
6.0,6.0
6.13,6.13
67.94,6.13
6.13,6.13
6.13,6.13
6.13,6.13
31.457,6.13
6.13,6.13
6.13,6.13
6.0,6.0
6.0,6.0
5.88,5.88
5.88,5.88
5.88,5.88
5.75,5.75
5.75,5.75
75.105,5.88
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.63,5.63
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.38,5.38
5.38,5.38
5.38,5.38
5.38,5.38
5.38,5.38
5.38,5.38
5.38,5.38
5.38,5.38
5.13,5.13
5.13,5.13
5.25,5.25
5.25,5.25
5.13,5.13
5.0,5.0
5.0,5.0
5.0,5.0
4.5,4.5
4.5,4.5
34.712,4.5
4.63,4.63
5.0,5.0
5.13,5.13
5.13,5.13
5.0,5.0
4.75,4.75
4.75,4.75
4.88,4.88
40.049,4.88
5.0,5.0
4.88,4.88
4.88,4.88
5.0,5.0
5.0,5.0
4.88,4.88
4.88,4.88
5.0,5.0
5.0,5.0
5.13,5.13
5.13,5.13
60.198,5.13
5.5,5.5
5.5,5.5
5.5,5.5
5.5,5.5
5.38,5.38
5.38,5.38
5.5,5.5
5.63,5.63
5.75,5.75
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
25.681,5.63
56.203,5.5
40.472,5.5
5.5,5.5
5.5,5.5
5.5,5.5
