,truth,injected,class
0,5.63,5.63,0.0
1,5.63,5.63,0.0
2,5.75,5.75,0.0
3,5.75,5.75,0.0
4,5.75,5.75,0.0
5,5.75,5.75,0.0
6,5.75,5.75,0.0
7,5.88,5.88,0.0
8,5.75,5.75,0.0
9,5.75,5.75,0.0
10,5.75,5.75,0.0
11,5.75,5.75,0.0
12,5.75,5.75,0.0
13,5.75,5.75,0.0
14,5.75,5.75,0.0
15,5.75,5.75,0.0
16,5.75,5.75,0.0
17,5.75,5.75,0.0
18,5.75,5.75,0.0
19,5.75,5.75,0.0
20,5.75,5.75,0.0
21,5.63,5.63,0.0
22,5.63,5.63,0.0
23,5.63,5.63,0.0
24,5.63,5.63,0.0
25,5.63,5.63,0.0
26,5.63,5.63,0.0
27,5.75,5.75,0.0
28,5.75,5.75,0.0
29,5.75,5.75,0.0
30,5.63,5.63,0.0
31,5.5,5.5,0.0
32,5.5,5.5,0.0
33,5.5,5.5,0.0
34,5.63,5.63,0.0
35,5.63,5.63,0.0
36,5.63,5.63,0.0
37,5.75,5.75,0.0
38,5.75,5.75,0.0
39,5.75,5.75,0.0
40,5.75,5.75,0.0
41,5.75,5.75,0.0
42,5.75,5.75,0.0
43,5.75,5.75,0.0
44,5.75,5.75,0.0
45,5.75,5.75,0.0
46,5.75,5.9080619845602955,1.0
47,5.88,6.038061984560295,1.0
48,5.75,5.9080619845602955,1.0
49,5.75,5.9080619845602955,1.0
50,5.75,5.9080619845602955,1.0
51,5.75,5.9080619845602955,1.0
52,5.75,5.9080619845602955,1.0
53,5.75,5.9080619845602955,1.0
54,5.75,5.9080619845602955,1.0
55,5.75,5.9080619845602955,1.0
56,5.75,5.75,0.0
57,5.75,5.75,0.0
58,5.75,5.75,0.0
59,5.75,5.75,0.0
60,5.75,5.75,0.0
61,5.63,5.63,0.0
62,5.75,5.75,0.0
63,5.75,5.75,0.0
64,5.75,5.75,0.0
65,5.75,5.75,0.0
66,5.75,5.75,0.0
67,5.75,5.75,0.0
68,5.75,5.75,0.0
69,5.75,5.75,0.0
70,5.75,5.75,0.0
71,5.75,5.75,0.0
72,5.75,5.75,0.0
73,5.88,5.88,0.0
74,5.88,5.88,0.0
75,5.88,5.88,0.0
76,5.88,5.88,0.0
77,5.88,5.88,0.0
78,5.75,5.75,0.0
79,5.75,5.75,0.0
80,5.75,5.75,0.0
81,5.75,5.75,0.0
82,5.88,5.88,0.0
83,5.88,5.88,0.0
84,5.88,5.88,0.0
85,5.75,5.75,0.0
86,5.75,5.75,0.0
87,5.75,5.75,0.0
88,5.75,5.75,0.0
89,5.75,5.75,0.0
90,5.75,5.75,0.0
91,5.75,5.75,0.0
92,5.75,5.75,0.0
93,5.75,5.75,0.0
94,5.75,5.75,0.0
95,5.75,5.75,0.0
96,5.75,5.75,0.0
97,5.75,5.75,0.0
98,5.88,5.88,0.0
