t,truth0.5,injected0.5,truth1,injected1,truth2,injected2,truth3,injected3,truth4,injected4,truth5,injected5,truth10,injected10,truth20,injected20
0,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,
1,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,
2,5.997,,5.997,,5.997,,5.997,,5.997,,5.997,,5.997,,5.997,
3,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,
4,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,
5,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,
6,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,,5.995,
7,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,
8,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,,5.994,
9,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,
10,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,
11,5.991,,5.991,,5.991,,5.991,,5.991,,5.991,,5.991,,5.991,
12,5.99,,5.99,,5.99,,5.99,,5.99,,5.99,,5.99,,5.99,
13,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,
14,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,
15,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,
16,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,,5.992,
17,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,
18,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,
19,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,
20,5.984,,5.984,,5.984,,5.984,,5.984,,5.984,,5.984,,5.984,
21,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,
22,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,
23,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,
24,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,
25,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,
26,5.979,,5.979,,5.979,,5.979,,5.979,,5.979,,5.979,,5.979,
27,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,
28,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,
29,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,
30,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,
31,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,
32,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,
33,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,,5.977,
34,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,
35,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,,5.975,
36,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,,5.976,
37,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,,5.978,
38,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,,5.98,
39,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,
40,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,,5.983,
41,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,,5.985,
42,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,,5.986,
43,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,,5.989,
44,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,,5.993,
45,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,,5.996,
46,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,
47,6.005,,6.005,,6.005,,6.005,,6.005,,6.005,,6.005,,6.005,
48,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,
49,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,
50,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,
51,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,
52,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
53,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
54,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,
55,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
56,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,
57,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,
58,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,
59,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,
60,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,
61,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,
62,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,
63,6.085,,6.085,,6.085,,6.085,,6.085,,6.085,,6.085,,6.085,
64,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,
65,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,
66,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,
67,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,
68,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,
69,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,
70,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,
71,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,
72,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,
73,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,,6.096,
74,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,
75,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,
76,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,
77,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,,6.093,
78,6.092,,6.092,,6.092,,6.092,,6.092,,6.092,,6.092,,6.092,
79,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,,6.091,
80,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,,6.089,
81,6.088,,6.088,,6.088,,6.088,,6.088,,6.088,,6.088,,6.088,
82,6.086,,6.086,,6.086,,6.086,,6.086,,6.086,,6.086,,6.086,
83,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,,6.084,
84,6.082,,6.082,,6.082,,6.082,,6.082,,6.082,,6.082,,6.082,
85,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,
86,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,
87,6.079,,6.079,,6.079,,6.079,,6.079,,6.079,,6.079,,6.079,
88,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,
89,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,
90,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,
91,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
92,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,
93,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,
94,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,
95,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,
96,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,
97,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,
98,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,
99,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,
100,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,
101,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,
102,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,
103,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,
104,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,
105,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,
106,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,
107,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,
108,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,
109,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
110,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
