t,truth0.0025,injected0.0025,truth0.005,injected0.005,truth0.01,injected0.01,truth0.02,injected0.02,truth0.05,injected0.05,truth0.1,injected0.1,truth0.15,injected0.15,truth0.2,injected0.2
0,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan
1,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,0.244271,0.244271,0.244271,0.244271,0.244271,0.244271,0.244271,0.244271,0.244271
2,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,-2.331339676350911,0.483596,-2.331339676350911,0.483596,-2.331339676350911,0.483596,-2.331339676350911,0.483596,-2.331339676350911
3,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,0.534879,0.534879,0.534879,0.534879,-2.492671185614035,0.534879,-2.492671185614035,0.534879,-2.492671185614035
4,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,0.603258,0.603258,0.603258,0.603258,0.603258
5,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan
6,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan
7,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan
8,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan
9,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan
10,2.19305,nan,2.19305,nan,2.19305,nan,2.19305,nan,2.19305,2.19305,2.19305,2.19305,2.19305,2.19305,2.19305,2.19305
11,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,5.243787199276289,2.27853,5.243787199276289,2.27853,5.243787199276289,2.27853,5.243787199276289
12,2.14177,nan,2.14177,nan,2.14177,nan,2.14177,nan,2.14177,2.14177,2.14177,2.14177,2.14177,2.14177,2.14177,2.14177
13,2.31272,nan,2.31272,nan,2.31272,nan,2.31272,nan,2.31272,nan,2.31272,nan,2.31272,nan,2.31272,nan
14,2.29562,nan,2.29562,nan,2.29562,nan,2.29562,nan,2.29562,nan,2.29562,nan,2.29562,nan,2.29562,nan
15,1.6631199999999997,nan,1.6631199999999997,nan,1.6631199999999997,nan,1.6631199999999997,nan,1.6631199999999997,nan,1.6631199999999997,nan,1.6631199999999997,1.6631199999999997,1.6631199999999997,1.6631199999999997
