t,truth5,injected5,truth10,injected10,truth20,injected20,truth40,injected40,truth60,injected60,truth80,injected80,truth100,injected100,truth200,injected200
0,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
1,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
2,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
3,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
4,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
5,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
6,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
7,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
8,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
9,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
10,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
11,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
12,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
13,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
14,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
15,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
16,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
17,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
18,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
19,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
20,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
21,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
22,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
23,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
24,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
25,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
26,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
27,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
28,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
29,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
