t,1,2,3,4,5,6,7,8,9,truth,injected
0,-0.911321341673133,-0.8969943931555111,-0.8965719394193512,-0.8965598855003777,-0.8965594726804921,-0.8965594618942029,-0.8965594629261006,-0.8965594632197171,-0.8965594632665436,-0.6012683579441883,-0.6012683579441883
1,-0.887646835121554,-0.8712378341977232,-0.8706906010810034,-0.8706726540952937,-0.8706719455753142,-0.8706719178670839,-0.8706719177528102,-0.8706719179545285,-0.8706719179929717,-0.6012683579441883,-0.6012683579441883
2,-0.8167782710925173,-0.7998741113855546,-0.79928363339608,-0.7992590999035515,-0.7992577931215871,-0.7992577202381888,-0.7992577170192998,-0.7992577170235586,-0.799257717050736,-0.5189572628706343,-0.5189572628706343
3,-0.698861677643788,-0.6854741129874616,-0.6851022675808072,-0.6850909388827965,-0.6850905085863079,-0.685090498036805,-0.6850904994419162,-0.6850904997997813,-0.6850904998547722,-0.4366461677970816,-0.4366461677970816
4,-0.7200178344974328,-0.7072816214075125,-0.7070065634945644,-0.7070055689923093,-0.707005961245598,-0.707006007006993,-0.7070060116978729,-0.7070060121917625,-0.7070060122450881,-0.5189572628706343,-0.5189572628706343
5,-0.6092673644088153,-0.6025589649008536,-0.6024873345707291,-0.6024935063821707,-0.6024941657972395,-0.6024942225195422,-0.6024942277804275,-0.6024942283171267,-0.6024942283747166,-0.4366461677970816,-0.4366461677970816
6,-0.5452413878937794,-0.5443256407246049,-0.5444174151314422,-0.5444278116397459,-0.5444285258361009,-0.5444285773426419,-0.5444285818816859,-0.5444285823538569,-0.5444285824064655,-0.2720239776499763,-0.2720239776499763
7,-0.5319102641828074,-0.5309018685082745,-0.5309795434514584,-0.5309905238780593,-0.5309913208246467,-0.5309913767179234,-0.5309913811769702,-0.5309913815923757,-0.5309913816351266,-0.2720239776499763,-0.2720239776499763
8,-0.44684162019421825,-0.44198269289891395,-0.441892995537163,-0.44189355522632423,-0.4418936437378547,-0.44189364953919347,-0.44189365035197603,-0.4418936504939937,-0.4418936505155524,-0.2720239776499763,-0.2720239776499763
9,-0.39296295580765833,-0.392059519562961,-0.3921726256743311,-0.3921885031264677,-0.3921897155515507,-0.3921898009726769,-0.39218980724584573,-0.3921898077474021,-0.3921898077911278,-0.2720239776499763,-0.2720239776499763
10,-0.3311695367157012,-0.34295586042364373,-0.3435706338265614,-0.34361058208490086,-0.3436130526622492,-0.3436132050405965,-0.3436132145591554,-0.34361321516043525,-0.3436132151983591,-0.2720239776499763,-0.2720239776499763
11,-0.2991490578114568,-0.30859249111761256,-0.30909182525308293,-0.3091179639885696,-0.30911927130370787,-0.30911933955931925,-0.30911934369108357,-0.30911934400543123,-0.3091193440347112,-0.10740178750286963,-0.10740178750286963
12,-0.22474138061038698,-0.22444407729979374,-0.22457096565785611,-0.22458097217264356,-0.22458153331684164,-0.2245815657025582,-0.22458156814614974,-0.22458156839395704,-0.22458156842260604,-0.2720239776499763,-0.2720239776499763
13,-0.15656510047796335,-0.1598436433420872,-0.16004596116842587,-0.16005567859819084,-0.16005604717326682,-0.16005606111731224,-0.16005606229752406,-0.16005606248588536,-0.1600560625147852,-0.025090692429317014,-0.025090692429317014
14,-0.07410413454304353,-0.07579112317723795,-0.07601016431888862,-0.07602518819471407,-0.07602608949316396,-0.07602614555832005,-0.07602614966510457,-0.07602615003238038,-0.07602615006995994,-0.10740178750286963,-0.10740178750286963
15,-0.004742629004087344,-0.013694257808498164,-0.014136230083759282,-0.014151234743388443,-0.014151540765106996,-0.014151533305378713,-0.01415153229854348,-0.014151532307391542,-0.014151532323039095,0.057220402644235606,0.057220402644235606
16,0.13553135561364887,0.1166608490120722,0.11583793431980922,0.11580619007071888,0.11580502881865018,0.11580498492387245,0.1158049822870202,0.11580498197973249,0.11580498193698482,0.13953149771778822,0.13953149771778822
17,0.15422818876663064,0.13402469063439684,0.13318045558684868,0.13314622538976859,0.13314483059310767,0.13314476893585075,0.13314476509884526,0.1331447647188434,0.1331447646724194,0.22184259279134086,0.22184259279134086
18,0.07168829703077241,0.06285036124755586,0.062477755749003126,0.062460760299980725,0.06245993611655771,0.06245988730612146,0.06245988320046887,0.062459882754138475,0.062459882701633,0.30415368786489494,0.30415368786489494
19,0.11503922451493141,0.10023609560449254,0.09963265339824273,0.09961018688054646,0.09960939084986735,0.0996093589290271,0.09960935646053651,0.09960935613088347,0.09960935608476071,0.38646478293844755,0.38646478293844755
20,0.1906494341338078,0.17693401356370925,0.17641242017329928,0.17639814472076232,0.17639798342334664,0.17639799294738154,0.1763979926116852,0.17639799232777614,0.176397992272748,0.38646478293844755,0.38646478293844755
21,0.2063406768249041,0.1946390876394122,0.19415641977814896,0.19414171333965552,0.194141418842614,0.1941414180199926,0.19414141726881493,0.1941414170063421,0.19414141695895187,0.4687758780120002,0.4687758780120002
22,0.268938102317952,0.25849311491287635,0.25815057379173156,0.2581538706511537,0.25815514471886686,0.25815526246059994,0.2581552700232022,0.25815527030860785,0.25815527029447066,0.5510869730855528,0.5510869730855528
23,0.3925735497454856,0.37839503078504605,0.377996830702027,0.3780048009900168,0.37800664394744876,0.37800680528543984,0.37800681557316373,0.37800681598967134,0.3780068159774575,0.9626424484533174,0.9626424484533174
24,0.4200125944722608,0.4097474511052062,0.4094437275760795,0.40945390087993133,0.4094557337408597,0.409455883883562,0.4094558925497471,0.4094558927780353,0.4094558927455395,0.7980202583062121,0.7980202583062121
25,0.33735847464253294,0.3353458890496809,0.33537020649587945,0.33539458146021206,0.33539709732149103,0.3353972826433507,0.33539729314469685,0.33539729346074354,0.33539729343104413,0.7157091632326595,0.7157091632326595
26,0.4712366401615804,0.45982608341696773,0.4594247315961138,0.4594260509916044,0.45942717685583956,0.4594272750925906,0.45942728010467,0.45942728008151995,0.45942728003200106,0.8803313533797648,0.8803313533797648
27,0.4512717671547394,0.44034071036267736,0.4399617406873974,0.43995801771740073,0.4399585604844454,0.4399586146772862,0.43995861716485185,0.439958617064688,0.43995861702230155,0.6333980681591055,0.6333980681591055
28,0.46934183473764235,0.4576798816082971,0.4572335729559373,0.45722853144493153,0.4572291668328224,0.4572292396392114,0.4572292444025826,0.4572292445505906,0.4572292445342847,0.7157091632326595,0.7157091632326595
29,0.39713512281821367,0.375912376615565,0.37514953160008285,0.37512950846425536,0.3751293735685781,0.37512940480447876,0.37512940724006827,0.37512940725476046,0.3751294072308045,0.7980202583062121,0.7980202583062121
30,0.494115209614322,0.4843610167594167,0.48397859300193674,0.483971385906231,0.4839716578296765,0.4839717007124561,0.48397170359455755,0.4839717036629942,0.48397170364805836,0.4687758780120002,0.4687758780120002
31,0.8356449169949381,0.7936932941588977,0.7919632574582294,0.7918948029580527,0.7918918649710665,0.7918917138746457,0.7918917034730268,0.7918917025340132,0.7918917024361889,0.8803313533797648,0.8803313533797648
32,0.48808326799613777,0.4713392602993272,0.4707136513686909,0.47069675509314113,0.4706966388160971,0.47069666809528543,0.47069667072667914,0.4706966708176926,0.47069667080690714,0.5510869730855528,0.5510869730855528
33,0.2883813511503112,0.28467046033556714,0.2846063555597023,0.28461344421349993,0.2846144612214933,0.2846145525115073,0.28461455928944845,0.2846145597205845,0.2846145597420846,0.4687758780120002,0.4687758780120002
34,0.450782012949197,0.42908735777059365,0.4282961866095699,0.4282756092871458,0.42827545826714314,0.42827548562472617,0.4282754873741499,0.42827548729628967,0.4282754872613315,0.8803313533797648,0.8803313533797648
35,0.4195150855205946,0.41148847027482605,0.41119890248679997,0.4111951126989618,0.4111955343964084,0.41119558623748964,0.4111955898133757,0.4111955899431293,0.4111955899339254,0.38646478293844755,0.38646478293844755
36,0.44592268760654336,0.4291472235609534,0.42855606266810126,0.4285416601029804,0.42854164537946404,0.42854167429131385,0.42854167617477656,0.42854167614073846,0.42854167611365995,0.6333980681591055,0.6333980681591055
37,0.27200804201791157,0.2610951308558701,0.26073876294375364,0.2607354022191221,0.2607360202770859,0.26073608909251467,0.2607360935808259,0.2607360937161553,0.26073609369969064,0.7157091632326595,0.7157091632326595
38,0.1669631892898715,0.1911454300677192,0.19227084056474986,0.19233407000188046,0.19233810726997835,0.19233838243790122,0.19233840172431116,0.19233840309280004,0.19233840319059675,0.057220402644235606,0.057220402644235606
39,0.43562501551014055,0.42657962548269396,0.4262100007125912,0.4261960913531176,0.42619564838683277,0.4261956391921968,0.4261956390763751,0.4261956390340496,0.4261956390229585,0.38646478293844755,0.38646478293844755
40,0.2059799694621159,0.20301486463276655,0.2029135918825878,0.20291801687481395,0.20291895999066845,0.20291905975984312,0.20291906833750065,0.20291906899617473,0.20291906904243204,0.38646478293844755,0.38646478293844755
41,0.3221696531392243,0.2971095358577797,0.29625336775618766,0.2962357980493016,0.29623630096669984,0.2962364083619512,0.29623641860823646,0.29623641938729595,0.29623641943741136,1.04495354352687,1.04495354352687
42,0.37941293421643696,0.37707783068593603,0.3770979522377101,0.37710933084824505,0.3771106208564339,0.37711073509838,0.37711074433424163,0.37711074505623216,0.37711074511243403,0.4687758780120002,0.4687758780120002
43,0.4979136621972994,0.48001753678524506,0.47933209288282647,0.4793086790172329,0.47930808554733184,0.47930809351542897,0.4793080967363047,0.47930809713289674,0.47930809717391387,0.4687758780120002,0.4687758780120002
44,0.4962864458643745,0.4604324878497586,0.4589660373349012,0.4589048720480863,0.45890224617908143,0.45890213015854403,0.45890212465363056,0.4589021243446931,0.4589021243220284,0.8803313533797648,0.8803313533797648
45,0.13874493369207225,0.128539603173309,0.128256412606762,0.12824818423762777,0.12824828165477783,0.12824833416884523,0.1282483413201873,0.12824834212049027,0.1282483422049282,0.38646478293844755,0.38646478293844755
46,0.07845692549981785,0.07555618876602448,0.07551264884467758,0.07551393020524907,0.07551449290219499,0.07551457549774901,0.0755145850848871,0.0755145861082174,0.07551458621426953,0.22184259279134086,0.22184259279134086
47,0.4861264735743556,0.461903935326343,0.460946476317271,0.4609118784600905,0.46091079049785777,0.4609107748645105,0.4609107768225711,0.46091077713804907,0.4609107771725511,0.7980202583062121,0.7980202583062121
48,0.34733363667510403,0.31886817818688146,0.31759948393927556,0.31754276432325185,0.31754020624184054,0.3175400948557255,0.31754009067528954,0.31754009060799265,0.3175400906199814,0.5510869730855528,0.5510869730855528
49,0.507996334795687,0.48106111227070814,0.4799524075705641,0.47990745849300825,0.47990562945786536,0.47990555569817994,0.47990555279610625,0.47990555268749824,0.4799055526837647,0.6333980681591055,0.6333980681591055
50,0.3529496249270089,0.3214367396098662,0.3201494452333429,0.3200988240241271,0.32009698556289073,0.3200969387405299,0.3200969398821863,0.32009694024035895,0.3200969402861367,0.7157091632326595,0.7157091632326595
51,0.6086884955047308,0.5618900374717848,0.5600210770654902,0.5599473426862622,0.5599443843641291,0.5599442632632948,0.5599442579190966,0.5599442576249315,0.5599442576017386,1.2095757336739767,1.2095757336739767
52,0.30149089136530177,0.28637242718131656,0.2856282214140238,0.28559481393253433,0.2855934251810811,0.2855933812258761,0.2855933816570834,0.285593381963844,0.28559338201038714,0.38646478293844755,0.38646478293844755
53,0.5095190608320388,0.4656028006638213,0.4637387947134882,0.46365695701094883,0.46365320796422954,0.4636530335178274,0.46365302584038004,0.463653025590836,0.4636530255959491,0.9626424484533174,0.9626424484533174
54,1.9534829885584482,1.7069647715371559,1.6971408806223391,1.6967560122746599,1.6967398416664565,1.6967390788519867,1.6967390353984626,1.6967390322511733,1.6967390319709215,1.2918868287475294,6.1650084339994775
55,-0.0761044217309636,-0.08048863917619556,-0.08076680170934242,-0.08078197243306316,-0.08078240682577485,-0.08078237689146575,-0.08078236903909158,-0.08078236791604504,-0.08078236777845198,0.13953149771778822,0.13953149771778822
56,0.07330659718736486,0.05636394838946734,0.05552859125280946,0.05548259533828018,0.05548021057177273,0.055480104789164326,0.0554801025030585,0.055480102823296726,0.0554801028939361,0.38646478293844755,0.38646478293844755
57,0.5962888276921042,0.5377650598383531,0.53527278025787,0.5351650913754614,0.5351601941123735,0.5351599617606649,0.5351599505342713,0.535159950011518,0.5351599499914211,1.2095757336739767,1.2095757336739767
58,0.1636995571199889,0.15039703515962535,0.14970633348530105,0.1496745386870118,0.149673262386715,0.14967323129362894,0.14967323333651641,0.14967323384034442,0.14967323391010687,0.30415368786489494,0.30415368786489494
59,0.29836236678914424,0.2721577791450792,0.27097684952656576,0.27092223869714205,0.27091972654437296,0.27091961634509726,0.270919612316953,0.2709196122793696,0.2709196122960502,0.4687758780120002,0.4687758780120002
60,0.2596907695869496,0.23270469002927316,0.23168561679291147,0.23164708669700093,0.23164588045735984,0.23164587684881208,0.23164588194193123,0.23164588272762365,0.23164588282210294,0.6333980681591055,0.6333980681591055
61,0.45345253892502335,0.41892657906322395,0.41745773409741205,0.4173925860290698,0.41738961466452346,0.4173894770191519,0.41738947075874067,0.4173894705066563,0.4173894705014314,0.4687758780120002,0.4687758780120002
62,-0.1707737274417311,-0.1517907361598625,-0.15088424984148296,-0.15083609606383253,-0.15083297038229407,-0.1508327398086742,-0.15083272170587914,-0.15083272023204713,-0.15083272010826104,-0.2720239776499763,-0.2720239776499763
63,-0.07848334773846882,-0.04573604298803294,-0.04420156605428211,-0.044117861946101206,-0.04411262050387631,-0.04411226310888944,-0.044112237501744485,-0.044112235602564796,-0.044112235457216195,-0.2720239776499763,-0.2720239776499763
64,0.09097570342518971,0.0976869798973543,0.09807905501539788,0.09810698497495408,0.09810920172433452,0.09810938042980485,0.09810939463261475,0.09810939574810973,0.09810939583552959,0.057220402644235606,0.057220402644235606
65,0.2792008846730719,0.27411501696458807,0.2740476959486977,0.2740643010980141,0.27406640365067036,0.27406658801552597,0.27406660192746624,0.2740666028694467,0.2740666029253125,0.38646478293844755,0.38646478293844755
66,0.15719322844149686,0.1535086960463987,0.15352195332058935,0.15355106754184608,0.1535543902610274,0.15355467974660136,0.15355470232851803,0.15355470397732998,0.15355470409115757,0.4687758780120002,0.4687758780120002
67,0.019396742604315814,0.022310732376089857,0.02251986605380322,0.02254778571279808,0.02255050461676999,0.02255073307914321,0.02255075067471976,0.022550751945820693,0.022550752032066572,0.13953149771778822,0.13953149771778822
68,-0.05218208710883432,-0.04931723498332684,-0.049225598201584564,-0.04921339725689945,-0.049211967680800224,-0.049211827548254546,-0.04921181519750196,-0.04921181416953344,-0.049211814086298274,-0.1897128825764237,-0.1897128825764237
69,0.011593870250917808,-0.005534716102202752,-0.006075815348731974,-0.006081750669406381,-0.006080672661650016,-0.006080517948424656,-0.0060805024160092555,-0.0060805010095393765,-0.0060805008862267595,0.4687758780120002,0.4687758780120002
70,-0.0924543682014083,-0.08916686058067985,-0.08877991248818093,-0.08874683633759405,-0.0887441200922513,-0.088743907531526,-0.08874389157112203,-0.08874389041124738,-0.08874389032935692,0.30415368786489494,0.30415368786489494
71,-0.12995452807429272,-0.12699711135318098,-0.12677866656692136,-0.1267655314132945,-0.12676436493510151,-0.12676424881697154,-0.1267642373841082,-0.12676423627551406,-0.12676423616813112,-0.2720239776499763,-0.2720239776499763
72,-0.03358889866900956,-0.056510505435738406,-0.05724873229099189,-0.05726565773527466,-0.05726516792713547,-0.05726503689775553,-0.05726502147366002,-0.05726501993675706,-0.05726501979148063,0.30415368786489494,0.30415368786489494
73,0.25413023019567477,0.21626612929165226,0.2149005776401476,0.2148556219162681,0.21485475309474253,0.21485481842522985,0.21485483114070208,0.21485483264238037,0.2148548327997456,0.13953149771778822,0.13953149771778822
74,0.17730655845990437,0.1443791597256453,0.14310348900544997,0.14305644388837563,0.14305518327343877,0.14305521687173808,0.1430552277766761,0.1430552292329151,0.14305522939749601,-0.025090692429317014,-0.025090692429317014
75,0.4226912324557398,0.3812823401762296,0.3796155083729612,0.3795494261387777,0.3795467702250534,0.3795466632888819,0.37954665893429085,0.37954665874180316,0.37954665873069704,0.4687758780120002,0.4687758780120002
76,0.5014608897465991,0.44826177233541137,0.44596577516380403,0.4458666550495264,0.4458621081338968,0.44586188302985524,0.4458618707359153,0.4458618699770271,0.44586186992331855,0.4687758780120002,0.4687758780120002
77,0.8197860685892471,0.7428083219891348,0.7396655582082441,0.7395294593313436,0.7395232250657201,0.7395229367226486,0.7395229243061344,0.7395229239310437,0.7395229239428398,0.7157091632326595,0.7157091632326595
78,0.905535659032442,0.823447895394009,0.8199955230515176,0.8198387955638904,0.8198312778074348,0.8198309190928487,0.8198309038250974,0.8198309034673545,0.8198309035031444,-0.025090692429317014,-0.025090692429317014
79,0.930595622687505,0.8273100534943095,0.8230717456576152,0.8228819276378715,0.8228727931900676,0.8228723384238898,0.8228723162415766,0.8228723153077337,0.8228723152908017,0.6333980681591055,0.6333980681591055
80,0.9551567757730696,0.8644727168155292,0.8606074600054873,0.8604295941638079,0.8604207086368574,0.8604202428271811,0.8604202183332595,0.8604202171432038,0.8604202171016916,0.38646478293844755,0.38646478293844755
81,0.9781169984638445,0.8926010985804574,0.8889649604507415,0.8887971635561958,0.8887888668184547,0.8887884492578433,0.8887884295951527,0.88878842892456,0.8887884289397181,0.30415368786489494,0.30415368786489494
82,1.2438730813485899,1.162972105801528,1.1593463556330956,1.159172099885776,1.1591630596638334,1.1591625767871148,1.1591625519266886,1.1591625508631842,1.1591625508496521,-0.025090692429317014,-0.025090692429317014
83,1.4608189936560945,1.3227759240192127,1.3169692801518236,1.316707663904977,1.3166948219216816,1.3166941560106251,1.3166941210463128,1.31669411931939,1.3166941192537485,1.1272646386004241,1.1272646386004241
84,1.3743679717615742,1.271202612180785,1.2668516889068941,1.2666607127115277,1.2666517288262036,1.2666512969803634,1.2666512774838545,1.266651276851758,1.2666512768682503,0.7980202583062121,0.7980202583062121
85,1.6416277065436888,1.5479171623442225,1.544095306368149,1.5439438195382635,1.5439375066322036,1.543937234471474,1.5439372226399208,1.5439372221508871,1.5439372221349272,1.2095757336739767,1.2095757336739767
86,1.417340514353054,1.3443543735189425,1.341353626003967,1.3412350330722413,1.3412302050757674,1.3412300131872836,1.3412300067350011,1.3412300066816347,1.341230006705717,0.7980202583062121,0.7980202583062121
87,1.6151295976059665,1.5187223946357062,1.5147024772129805,1.5145440914923867,1.5145375560271916,1.5145372745648604,1.5145372618284134,1.51453726120573,1.5145372611707395,1.7857533991888466,1.7857533991888466
88,1.4479265211834476,1.358827291973799,1.3550861739161608,1.354934687097583,1.3549281949977383,1.3549278992525524,1.3549278848408253,1.35492788408156,1.3549278840375598,1.5388201139681887,1.5388201139681887
89,1.3918721236081613,1.3014986260074164,1.29770213474284,1.2975486968171985,1.297542151146599,1.2975418568939932,1.2975418430449288,1.2975418423709029,1.297541842337648,1.6211312090417414,1.6211312090417414
90,1.304443097246787,1.2222441782040565,1.21872666610521,1.2185814073058248,1.2185751301442858,1.2185748566303463,1.2185748456940955,1.2185748454260423,1.218574845444477,1.2095757336739767,1.2095757336739767
91,1.2000125937558022,1.118210484824875,1.1147327728392056,1.1145865743344539,1.1145800873331895,1.1145797918012743,1.1145797788515166,1.1145797784064495,1.1145797784094065,1.1272646386004241,1.1272646386004241
92,1.118772846184062,1.0439427202336737,1.0407085694292748,1.0405699933280514,1.0405636911426361,1.040563392672898,1.040563378610947,1.0405633780231127,1.0405633780105639,0.9626424484533174,0.9626424484533174
93,0.9451632714707302,0.882508829278022,0.8798056402821909,0.8796939839843139,0.879689309195802,0.8796891269079771,0.8796891222933921,0.8796891225465602,0.8796891226134759,0.7157091632326595,0.7157091632326595
94,1.031650942808394,0.9623885246361547,0.959328860523202,0.9592012915637496,0.9591958338565348,0.9591956063059915,0.9591955984409115,0.9591955984079461,0.9591955984462204,0.7157091632326595,0.7157091632326595
95,0.9817535597997231,0.9104418135015704,0.9073186577191464,0.9071861705509332,0.9071802935816226,0.9071800281508539,0.9071800167561206,0.9071800163869966,0.9071800163926289,0.8803313533797648,0.8803313533797648
96,0.8816102475363506,0.8119586197717111,0.8089707834051203,0.8088478574601898,0.8088426389322892,0.8088424167507188,0.8088424079526816,0.8088424077110573,0.8088424077193164,0.9626424484533174,0.9626424484533174
97,0.6977975292917104,0.6448383493811356,0.6425622339706488,0.6424678645876252,0.6424638449878033,0.6424636740067622,0.642463667318313,0.6424636671494747,0.6424636671584371,0.7980202583062121,0.7980202583062121
98,0.5820395629692819,0.5527293736132688,0.5513710989244325,0.5513142495665456,0.551311916648602,0.5513118325756321,0.5513118312417539,0.5513118314715191,0.5513118315150716,0.38646478293844755,0.38646478293844755
99,0.5196851003287858,0.49004195652824517,0.4887244504182951,0.4886712844271545,0.48866922160425985,0.48866915349569956,0.4886691528413233,0.48866915307038555,0.4886691531088743,0.4687758780120002,0.4687758780120002
100,0.5322344418794432,0.5026163609942094,0.5012275460506596,0.5011706019508979,0.5011683166961124,0.5011682299871429,0.5011682273692529,0.5011682273760505,0.5011682273893562,0.38646478293844755,0.38646478293844755
101,0.49726229001318023,0.4658174385905863,0.4644419616561029,0.464391371967475,0.46438978624924115,0.46438976398047077,0.46438976700610396,0.46438976750384364,0.4643897675604433,0.38646478293844755,0.38646478293844755
102,0.3813843419078736,0.35305826296238263,0.35177557488050837,0.35172313137287403,0.35172109801758555,0.3517210311793622,0.35172103041346425,0.3517210306015168,0.3517210306327964,0.38646478293844755,0.38646478293844755
103,0.2973205397519243,0.28405587229228435,0.28339754459638766,0.28337447334489735,0.2833739741177523,0.28337399348942555,0.2833739977945818,0.2833739982866109,0.28337399833592003,0.22184259279134086,0.22184259279134086
104,0.26661641612321174,0.2541354649161536,0.2535047698649573,0.25348144373455517,0.2534808457184316,0.2534808576033306,0.2534808616804061,0.25348086220343347,0.2534808622605868,0.22184259279134086,0.22184259279134086
105,0.1270849750139121,0.12018431117432174,0.11978686591683593,0.11977202237610689,0.11977174688724677,0.11977177108651572,0.11977177564761105,0.11977177619446269,0.11977177625359349,0.22184259279134086,0.22184259279134086
106,0.027746661313586617,0.03304627371311533,0.03314457460849412,0.03314988521242774,0.03315046557070116,0.033150526905949336,0.03315053299773176,0.033150533590525035,0.03315053364849969,-0.025090692429317014,-0.025090692429317014
107,0.08489308984887196,0.08223811457579178,0.08204648123698743,0.08204117268088953,0.08204133006287308,0.08204137026885366,0.08204137476002714,0.0820413751842674,0.08204137522247307,0.057220402644235606,0.057220402644235606
108,0.1400887021497904,0.12943944368805252,0.12889506270216713,0.12887460708139595,0.12887406053258996,0.12887406438119525,0.12887406676547025,0.12887406705260887,0.12887406708085786,0.22184259279134086,0.22184259279134086
109,0.13288374262312674,0.12625501640123943,0.12582218523818176,0.1258051558677756,0.12580471720684497,0.12580472598634398,0.12580472886593963,0.12580472922067132,0.12580472925785818,0.057220402644235606,0.057220402644235606
110,0.09570983498692782,0.08878330102734264,0.08837392209482221,0.08836189266414933,0.08836193890907415,0.08836198665997243,0.08836199239376286,0.08836199294255696,0.08836199299175695,0.057220402644235606,0.057220402644235606
111,-0.087485198527716,-0.088737551734497,-0.0888656822844765,-0.0888661767961801,-0.08886557356922727,-0.08886549128727747,-0.08886548276636598,-0.08886548194867919,-0.08886548187130987,-0.025090692429317014,-0.025090692429317014
112,-0.15022791020267817,-0.14040269099034758,-0.1400719005344997,-0.1400548662122367,-0.140053588108447,-0.14005347956617437,-0.14005347011632058,-0.14005346928446696,-0.14005346920992592,-0.2720239776499763,-0.2720239776499763
113,-0.06394537534949207,-0.05382736302251379,-0.05354055567416429,-0.053530374608981746,-0.05352977062581148,-0.05352972153277715,-0.053529717160653516,-0.05352971676247829,-0.053529716725592785,-0.2720239776499763,-0.2720239776499763
114,-0.18320561936827975,-0.16523234198430448,-0.16463899882696792,-0.16461230121118106,-0.16461066692720489,-0.16461054816282586,-0.16461053883570037,-0.16461053807208306,-0.16461053800737152,-0.354335072723529,-0.354335072723529
115,-1.577779839687854,-1.3806528257863597,-1.3730609805617604,-1.3727640422085379,-1.3727509214966653,-1.3727502234056579,-1.3727501764255798,-1.3727501725122129,-1.3727501721382132,-0.1897128825764237,-5.097777863172302
116,-0.2090058057043967,-0.19564035023201198,-0.19510442185865323,-0.19507487641085663,-0.19507277222865424,-0.19507260730302378,-0.1950725939612848,-0.19507259286038167,-0.1950725927673216,-0.354335072723529,-0.354335072723529
117,-0.375883794613184,-0.35664214383854054,-0.3558983585557866,-0.3558636174477823,-0.3558614759734006,-0.35586132161282563,-0.35586130959900014,-0.3558613086196702,-0.3558613085366077,-0.4366461677970816,-0.4366461677970816
118,-0.4251633302748245,-0.4003496714973806,-0.399400578135813,-0.3993593299198751,-0.39935702436977544,-0.3993568697360896,-0.39935685813680527,-0.3993568572018548,-0.3993568571222043,-0.5189572628706343,-0.5189572628706343
119,-0.277438860784105,-0.26453757375068154,-0.26407825096684767,-0.26405884623235826,-0.2640576814029873,-0.264057596367772,-0.2640575896978822,-0.26405758915985833,-0.2640575891154533,-0.2720239776499763,-0.2720239776499763
120,-0.2692729085190087,-0.26656238992996806,-0.26645228519981223,-0.26644834851244337,-0.2664479696502205,-0.266447929433667,-0.26644792563946934,-0.26644792530929673,-0.26644792528166755,-0.025090692429317014,-0.025090692429317014
121,-0.5151073151066583,-0.4890484143213198,-0.487980483687971,-0.4879367580290218,-0.4879345668789584,-0.48793443510472917,-0.4879344261211395,-0.4879344254581863,-0.48793442540639564,-0.4366461677970816,-0.4366461677970816
122,-0.4189103240839816,-0.4037313201772068,-0.4030695379628798,-0.40303893996432183,-0.403037106532865,-0.40303697807645134,-0.40303696844792297,-0.40303696770396474,-0.4030369676451529,-0.2720239776499763,-0.2720239776499763
123,-0.6731445723951976,-0.6333720307494695,-0.6317220589496341,-0.6316557268708738,-0.6316526025937013,-0.6316524275495969,-0.631652416135587,-0.63165241529845,-0.6316524152312684,-0.7658905480912935,-0.7658905480912935
