,truth,injected,class
0,6.3,6.3,0.0
1,5.8,5.8,0.0
2,6.9,6.9,0.0
3,7.3,7.3,0.0
4,7.0,7.0,0.0
5,7.2,7.2,0.0
6,6.3,6.3,0.0
7,7.1,7.1,0.0
8,7.0,7.0,0.0
9,6.3,6.3,0.0
10,7.2,7.2,0.0
11,6.5,6.5,0.0
12,6.4,6.4,0.0
13,6.1,6.1,0.0
14,6.1,6.1,0.0
15,6.1,6.1,0.0
16,5.4,5.4,0.0
17,5.5,5.5,0.0
18,5.6,5.6,0.0
19,6.1,6.1,0.0
20,6.1,6.1,0.0
21,5.8,5.8,0.0
22,5.8,5.8,0.0
23,5.9,5.9,0.0
24,5.9,5.9,0.0
25,7.1,7.1,0.0
26,7.4,7.4,0.0
27,6.9,6.9,0.0
28,6.0,6.0,0.0
29,5.5,5.5,0.0
30,5.4,5.4,0.0
31,6.0,6.0,0.0
32,6.1,6.1,0.0
33,5.2,5.2,0.0
34,5.8,5.8,0.0
35,5.8,5.8,0.0
36,5.1,5.1,0.0
37,5.6,5.6,0.0
38,5.8,5.8,0.0
39,6.6,6.6,0.0
40,6.8,6.8,0.0
41,6.9,6.9,0.0
42,7.1,7.1,0.0
43,7.2,7.2,0.0
44,8.0,8.0,0.0
45,7.9,7.9,0.0
46,8.1,8.1,0.0
47,8.9,8.9,0.0
48,9.9,9.9,0.0
49,10.5,10.5,0.0
50,11.0,11.0,0.0
51,11.6,11.6,0.0
52,11.5,11.5,0.0
53,11.8,11.8,0.0
54,11.8,11.8,0.0
55,11.8,11.8,0.0
56,11.9,11.9,0.0
57,12.2,12.2,0.0
58,12.3,12.3,0.0
59,12.6,12.6,1.0
60,12.7,11.6,1.0
61,12.7,10.5,1.0
62,12.8,9.5,1.0
63,13.1,8.7,1.0
64,13.0,7.5,1.0
65,13.1,6.499999999999999,1.0
66,13.3,5.6,1.0
67,13.4,4.6,1.0
68,13.6,3.6999999999999993,1.0
69,13.9,4.0,0.0
70,14.0,4.1,0.0
71,13.9,4.0,0.0
72,13.8,3.9000000000000004,0.0
73,14.0,4.1,0.0
74,14.1,4.199999999999999,0.0
75,14.2,4.299999999999999,0.0
76,14.2,4.299999999999999,0.0
77,14.4,4.5,0.0
78,14.6,4.699999999999999,0.0
79,14.6,4.699999999999999,0.0
80,14.8,4.9,0.0
81,14.8,4.9,0.0
82,15.2,5.299999999999999,0.0
83,15.1,5.199999999999999,0.0
84,15.2,5.299999999999999,0.0
85,14.9,5.0,0.0
86,15.2,5.299999999999999,0.0
87,15.6,5.699999999999999,0.0
88,15.4,5.5,0.0
89,15.3,5.4,0.0
90,15.1,5.199999999999999,0.0
91,15.1,5.199999999999999,0.0
92,14.9,5.0,0.0
93,14.7,4.799999999999999,0.0
94,14.8,4.9,0.0
95,15.0,5.1,0.0
96,14.6,4.699999999999999,0.0
97,14.6,4.699999999999999,0.0
98,14.4,4.5,0.0
