0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.422418,-0.848949,-0.36946,-1.01881,-0.778948,-1.44575,-0.257815,-1.43326,-0.522389,-0.632842,-0.753125,-0.723929,-0.744229,-1.3954,-1.36955,-1.43447,-1.02686,-1.09555,-1.61607,-1.46913
0.175893,-0.746817,-0.36946,-1.09834,-0.731703,-1.32611,-0.257815,-1.33678,-0.503177,-0.655334,-0.873295,-0.710969,-0.760342,-1.30966,-1.38647,-1.31787,-1.02686,-1.1837,-1.66577,-1.54703
-0.524985,-0.695751,-0.36946,-1.19114,-0.684459,-1.362,-0.526085,-1.59867,-0.887414,-0.981463,-0.858274,-0.814647,-0.865074,-1.29742,-1.38647,-1.3986,-1.20612,-1.24981,-1.44212,-1.52106
-0.644647,-0.465955,-0.36946,-0.979037,-0.826192,-1.20646,-0.526085,-1.14381,-1.09874,-1.1389,-0.93338,-0.892404,-0.712004,-1.13819,-1.13267,-1.29096,-0.982044,-0.897228,-0.969979,-1.23542
-0.695931,0.146835,-0.296445,-0.475303,-0.873437,-0.572358,-0.626687,-0.551119,-0.311059,-0.947725,-0.888317,-0.762808,-0.148059,-0.734,-0.405091,-0.887339,-0.713151,-0.963337,-0.746332,-0.534305
-0.31985,0.734091,-0.328896,0.214018,-0.967926,0.576211,-0.459018,0.399942,-0.0613049,-0.700317,-0.0771673,-0.633211,0.125856,0.184612,0.220963,-0.627226,-0.399441,-0.875191,0.0737039,0.0889093
-0.0634312,0.861756,-0.353234,0.0947127,-0.873437,0.372818,-0.190747,0.565344,-0.0228813,-0.374189,-0.527806,-0.892404,0.198363,0.245852,0.254804,-0.447837,-0.264995,-0.412428,0.769492,-0.170763
-0.0976204,1.21922,-0.337009,0.386349,-0.967926,0.588175,-0.358416,0.758313,-0.464753,-0.227993,-0.0321035,-0.937763,0.254758,1.01749,1.20235,-0.223602,0.0935302,0.0503354,1.03041,-0.417453
-0.251472,1.29582,-0.337009,0.386349,-0.920681,0.875317,-0.123679,0.730746,-0.503177,-0.284222,0.133131,-0.879445,0.101687,0.821516,1.52383,0.153113,-0.175363,-0.324282,0.58312,-0.949782
-0.405323,1.04049,-0.337009,0.200762,-0.967926,0.456568,-0.324882,0.951282,-0.945049,-0.464155,-0.317508,-0.866485,-0.131947,0.552056,0.779336,-0.573409,0.496871,0.0723718,0.160677,-1.0926
