TS0,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,TS9,TS10,TS11
8.069,8.893,5.041,5.833,5.668,5.483,2.98,10.157,1.468,1.854,5.186,2.894
8.068,8.892,5.046,5.833,5.668,5.489,2.979,10.157,1.469,1.854,5.186,2.894
8.069,8.893,5.049,5.832,5.669,5.486,2.978,10.156,1.468,1.855,5.185,2.895
8.069,8.893,5.05,5.832,5.667,5.482,2.977,10.156,1.468,1.855,5.184,2.897
8.07,8.895,5.051,5.833,5.668,5.483,2.976,10.155,1.467,1.856,5.184,2.898
8.07,8.895,5.051,5.833,5.667,5.478,2.976,10.154,1.467,1.856,5.185,2.897
8.069,8.894,5.049,5.832,5.667,5.477,2.975,10.153,1.468,1.857,5.186,2.898
8.069,8.895,5.047,5.831,5.666,5.48,2.975,10.152,1.468,1.858,5.185,2.897
8.07,8.896,5.044,5.831,5.667,5.477,2.974,10.151,1.469,1.858,5.185,2.894
8.07,8.896,5.04,5.832,5.668,5.476,2.974,10.151,1.468,1.859,5.184,2.893
8.071,8.897,5.036,5.832,5.668,5.483,2.969,10.152,1.468,1.86,5.184,2.893
8.07,8.897,5.031,5.833,5.667,5.484,2.95,10.151,1.469,1.861,5.185,2.895
8.07,8.898,5.026,5.833,5.667,5.484,2.933,10.151,1.469,1.863,5.185,2.896
8.071,8.898,5.019,5.834,5.668,5.49,2.923,10.152,1.468,1.864,5.186,2.896
8.072,8.899,5.013,5.835,5.668,5.492,2.917,10.152,1.468,1.865,5.186,2.894
8.073,8.899,5.007,5.835,5.667,5.49,2.915,10.153,1.469,1.866,5.187,2.892
8.073,8.9,5.0,5.836,5.667,5.489,2.915,10.153,1.468,1.868,5.187,2.892
8.074,8.9,4.994,5.836,5.668,5.491,2.916,10.154,1.468,1.869,5.188,2.894
8.073,8.902,4.99,5.837,5.668,5.495,2.919,10.154,1.469,1.87,5.188,2.895
