,truth,injected,class
0,6.3,6.3,0.0
1,5.8,5.8,0.0
2,6.9,6.9,0.0
3,7.3,7.3,0.0
4,7.0,7.0,0.0
5,7.2,7.2,0.0
6,6.3,6.3,0.0
7,7.1,7.1,0.0
8,7.0,7.0,0.0
9,6.3,6.3,0.0
10,7.2,7.2,0.0
11,6.5,6.5,0.0
12,6.4,6.4,0.0
13,6.1,6.1,0.0
14,6.1,6.1,0.0
15,6.1,6.1,0.0
16,5.4,5.4,0.0
17,5.5,5.5,0.0
18,5.6,5.6,0.0
19,6.1,6.1,0.0
20,6.1,6.1,0.0
21,5.8,5.8,0.0
22,5.8,5.8,0.0
23,5.9,5.9,0.0
24,5.9,5.9,0.0
25,7.1,7.1,0.0
26,7.4,7.4,0.0
27,6.9,6.9,0.0
28,6.0,6.0,0.0
29,5.5,5.5,0.0
30,5.4,9.920477913976477,1.0
31,6.0,10.520477913976476,1.0
32,6.1,10.620477913976476,1.0
33,5.2,9.720477913976477,1.0
34,5.8,10.320477913976475,1.0
35,5.8,10.320477913976475,1.0
36,5.1,9.620477913976476,1.0
37,5.6,10.120477913976476,1.0
38,5.8,10.320477913976475,1.0
39,6.6,11.120477913976476,1.0
40,6.8,6.8,0.0
41,6.9,6.9,0.0
42,7.1,7.1,0.0
43,7.2,7.2,0.0
44,8.0,8.0,0.0
45,7.9,7.9,0.0
46,8.1,8.1,0.0
47,8.9,8.9,0.0
48,9.9,9.9,0.0
49,10.5,10.5,0.0
50,11.0,11.0,0.0
51,11.6,11.6,0.0
52,11.5,11.5,0.0
53,11.8,11.8,0.0
54,11.8,11.8,0.0
55,11.8,11.8,0.0
56,11.9,11.9,0.0
57,12.2,12.2,0.0
58,12.3,12.3,0.0
59,12.6,12.6,0.0
60,12.7,12.7,0.0
61,12.7,12.7,0.0
62,12.8,12.8,0.0
63,13.1,13.1,0.0
64,13.0,13.0,0.0
65,13.1,13.1,0.0
66,13.3,13.3,0.0
67,13.4,13.4,0.0
68,13.6,10.137134313407905,1.0
69,13.9,10.437134313407906,1.0
70,14.0,10.537134313407908,1.0
71,13.9,10.437134313407906,1.0
72,13.8,10.337134313407908,1.0
73,14.0,10.537134313407908,1.0
74,14.1,10.637134313407905,1.0
75,14.2,10.737134313407907,1.0
76,14.2,10.737134313407907,1.0
77,14.4,10.937134313407906,1.0
78,14.6,14.6,0.0
79,14.6,14.6,0.0
80,14.8,14.8,0.0
81,14.8,14.8,0.0
82,15.2,15.2,0.0
83,15.1,15.1,0.0
84,15.2,15.2,0.0
85,14.9,14.9,0.0
86,15.2,15.2,0.0
87,15.6,15.6,0.0
88,15.4,15.4,0.0
89,15.3,15.3,0.0
90,15.1,15.1,0.0
91,15.1,15.1,0.0
92,14.9,14.9,0.0
93,14.7,14.7,0.0
94,14.8,14.8,0.0
95,15.0,15.0,0.0
96,14.6,14.6,0.0
97,14.6,14.6,0.0
98,14.4,14.4,0.0
