,truth,injected,class
0,6.3,6.3,0.0
1,5.8,5.8,0.0
2,6.9,6.9,0.0
3,7.3,7.3,0.0
4,7.0,7.0,0.0
5,7.2,7.2,0.0
6,6.3,6.3,0.0
7,7.1,7.1,0.0
8,7.0,7.0,0.0
9,6.3,6.3,0.0
10,7.2,7.2,0.0
11,6.5,6.5,0.0
12,6.4,6.4,0.0
13,6.1,6.1,0.0
14,6.1,6.1,0.0
15,6.1,6.1,0.0
16,5.4,5.4,0.0
17,5.5,5.5,0.0
18,5.6,5.6,0.0
19,6.1,6.1,0.0
20,6.1,6.1,0.0
21,5.8,5.8,0.0
22,5.8,5.8,0.0
23,5.9,5.9,0.0
24,5.9,5.9,0.0
25,7.1,7.1,0.0
26,7.4,7.4,0.0
27,6.9,6.9,0.0
28,6.0,6.0,0.0
29,5.5,5.5,0.0
30,5.4,5.4,0.0
31,6.0,6.0,0.0
32,6.1,6.1,0.0
33,5.2,5.2,0.0
34,5.8,5.8,0.0
35,5.8,5.8,0.0
36,5.1,5.1,0.0
37,5.6,5.6,0.0
38,5.8,5.8,0.0
39,6.6,6.6,0.0
40,6.8,6.8,0.0
41,6.9,6.9,0.0
42,7.1,7.1,0.0
43,7.2,7.2,0.0
44,8.0,8.0,0.0
45,7.9,7.9,0.0
46,8.1,8.1,0.0
47,8.9,8.9,0.0
48,9.9,9.9,0.0
49,10.5,10.5,0.0
50,11.0,11.0,0.0
51,11.6,11.6,0.0
52,11.5,11.5,0.0
53,11.8,11.8,0.0
54,11.8,11.8,0.0
55,11.8,11.8,0.0
56,11.9,11.9,0.0
57,12.2,12.2,0.0
58,12.3,12.3,0.0
59,12.6,12.6,0.0
60,12.7,12.7,0.0
61,12.7,12.7,0.0
62,12.8,12.8,0.0
63,13.1,13.1,0.0
64,13.0,13.0,0.0
65,13.1,13.1,0.0
66,13.3,13.3,0.0
67,13.4,13.4,0.0
68,13.6,13.6,0.0
69,13.9,13.9,0.0
70,14.0,14.0,0.0
71,13.9,13.9,0.0
72,13.8,13.8,0.0
73,14.0,14.0,0.0
74,14.1,14.1,0.0
75,14.2,14.2,0.0
76,14.2,14.2,0.0
77,14.4,14.4,0.0
78,14.6,14.6,0.0
79,14.6,14.6,0.0
80,14.8,14.8,0.0
81,14.8,14.8,0.0
82,15.2,15.2,0.0
83,15.1,15.1,0.0
84,15.2,15.2,0.0
85,14.9,14.9,0.0
86,15.2,15.2,0.0
87,15.6,15.6,0.0
88,15.4,15.4,0.0
89,15.3,15.3,0.0
90,15.1,15.1,0.0
91,15.1,15.1,0.0
92,14.9,14.9,0.0
93,14.7,14.7,0.0
94,14.8,14.8,0.0
95,15.0,15.0,0.0
96,14.6,14.6,0.0
97,14.6,14.6,0.0
98,14.4,14.4,0.0
99,14.0,14.0,0.0
100,13.4,13.4,0.0
101,12.9,12.9,0.0
102,12.5,12.5,0.0
103,12.1,12.1,0.0
104,11.7,11.7,0.0
105,11.5,11.5,0.0
106,11.2,11.2,0.0
107,10.9,10.9,0.0
108,10.7,10.7,0.0
109,10.4,10.4,0.0
110,10.3,10.3,0.0
111,10.0,10.0,0.0
112,8.4,8.4,0.0
113,8.4,8.4,0.0
114,8.7,8.7,0.0
115,8.9,8.9,0.0
116,8.7,8.7,0.0
117,8.7,8.7,0.0
118,8.7,8.7,0.0
119,8.0,8.0,0.0
120,7.8,7.8,0.0
121,7.4,7.4,0.0
122,7.6,7.6,0.0
123,7.8,7.8,0.0
124,7.6,7.6,0.0
125,7.1,7.1,0.0
126,7.1,7.1,0.0
127,7.3,7.3,0.0
128,7.3,7.3,0.0
129,7.0,7.0,0.0
130,7.1,7.1,0.0
131,7.0,7.0,0.0
132,7.4,7.4,0.0
133,7.7,7.7,0.0
134,8.2,8.2,0.0
135,8.2,8.2,0.0
136,7.1,7.1,0.0
137,7.1,7.1,0.0
138,7.2,7.2,0.0
139,7.9,7.9,0.0
140,7.9,7.9,0.0
141,7.4,7.4,0.0
142,7.8,7.8,0.0
143,7.9,7.9,0.0
144,7.2,7.2,0.0
145,6.9,6.9,0.0
146,7.0,7.0,0.0
147,6.8,6.8,0.0
148,6.3,6.3,0.0
149,6.5,6.5,0.0
150,6.7,6.7,0.0
151,6.5,6.5,0.0
152,6.3,6.3,0.0
153,6.2,6.2,0.0
154,6.5,6.5,0.0
155,6.7,6.7,0.0
156,6.3,6.3,0.0
157,6.2,6.2,0.0
158,6.1,6.1,0.0
159,6.4,6.4,0.0
160,6.2,6.2,0.0
161,6.7,6.7,0.0
162,7.3,7.3,0.0
163,7.1,7.1,0.0
164,6.9,6.9,0.0
165,6.9,6.9,0.0
166,6.8,6.8,0.0
167,6.6,6.6,0.0
168,6.7,6.7,0.0
169,6.6,6.6,0.0
170,6.7,6.7,0.0
171,6.6,6.6,0.0
172,6.0,6.0,0.0
173,6.1,6.1,0.0
174,5.7,5.7,0.0
175,5.8,5.8,0.0
176,5.9,5.9,0.0
177,5.9,5.9,0.0
178,6.1,6.1,0.0
179,6.9,6.9,0.0
180,5.5,5.5,0.0
181,6.1,6.1,0.0
182,6.0,6.0,0.0
183,7.0,7.0,0.0
184,6.5,6.5,0.0
185,6.6,6.6,0.0
186,6.6,6.6,0.0
187,7.7,7.7,0.0
188,7.1,7.1,0.0
189,8.1,8.1,0.0
190,8.3,8.3,0.0
191,8.9,8.9,0.0
192,8.9,8.9,0.0
193,8.2,8.2,0.0
194,8.8,8.8,0.0
195,8.6,8.6,0.0
196,8.4,8.4,0.0
197,9.1,9.1,0.0
198,9.3,9.3,0.0
199,9.6,9.6,0.0
200,7.6,7.6,0.0
201,7.9,7.9,0.0
202,8.0,8.0,0.0
203,8.2,8.2,0.0
204,8.1,8.1,0.0
205,8.5,8.5,0.0
206,9.1,9.1,0.0
207,9.7,9.7,0.0
208,9.3,9.3,0.0
209,9.9,9.9,0.0
210,10.1,10.1,0.0
211,10.2,10.2,0.0
212,10.3,10.3,0.0
213,10.7,10.7,0.0
214,11.0,11.0,0.0
215,10.9,10.9,0.0
216,11.1,11.1,0.0
217,11.2,11.2,0.0
218,11.1,11.1,0.0
219,11.3,11.3,0.0
220,11.4,11.4,0.0
221,11.8,11.8,0.0
222,11.8,11.8,0.0
223,11.8,11.8,0.0
224,11.5,11.5,0.0
225,11.9,11.9,0.0
226,11.9,11.9,0.0
227,12.0,12.0,0.0
228,12.1,12.1,0.0
229,12.3,12.3,0.0
230,11.9,11.9,0.0
231,11.6,11.6,0.0
232,11.5,11.5,0.0
233,11.4,11.4,0.0
234,11.3,11.3,0.0
235,11.5,11.5,0.0
236,11.6,11.6,0.0
237,11.5,11.5,0.0
238,11.5,11.5,0.0
239,11.5,11.5,0.0
240,11.3,11.3,0.0
241,11.2,11.2,0.0
242,11.1,11.1,0.0
243,11.0,11.0,0.0
244,10.9,10.9,0.0
245,10.9,10.9,0.0
246,10.8,10.8,0.0
247,10.7,10.7,0.0
248,10.6,10.6,0.0
249,10.4,10.4,0.0
250,10.4,10.4,0.0
251,10.2,10.2,0.0
252,10.1,10.1,0.0
253,10.1,10.1,0.0
254,9.9,9.9,0.0
255,9.8,9.8,0.0
256,9.6,9.6,0.0
257,9.6,9.6,0.0
258,9.7,9.7,0.0
259,9.6,9.6,0.0
260,9.7,9.7,0.0
261,9.8,9.8,0.0
262,9.5,9.5,0.0
263,9.6,9.6,0.0
264,9.3,9.3,0.0
265,9.2,9.2,0.0
266,9.0,9.0,0.0
267,9.2,9.2,0.0
268,9.1,9.1,0.0
269,9.2,9.2,0.0
270,9.4,9.4,0.0
271,9.2,9.2,0.0
272,9.3,9.3,0.0
273,7.6,7.6,0.0
274,7.3,7.3,0.0
275,7.7,7.7,0.0
276,7.6,7.6,0.0
277,7.5,7.5,0.0
278,7.4,7.4,0.0
279,7.8,7.8,0.0
280,6.7,6.7,0.0
281,6.1,6.1,0.0
282,6.6,6.6,0.0
283,5.9,5.9,0.0
284,5.9,5.9,0.0
285,5.4,5.4,0.0
286,4.9,4.9,0.0
287,5.6,5.6,0.0
288,4.8,4.8,0.0
289,4.4,4.4,0.0
290,4.3,4.3,0.0
291,4.7,4.7,0.0
292,4.3,4.3,0.0
293,4.2,4.2,0.0
294,4.0,4.0,0.0
295,4.1,4.1,0.0
296,4.3,4.3,0.0
297,4.1,4.1,0.0
298,3.4,3.4,0.0
299,3.4,3.4,0.0
300,4.0,4.0,0.0
301,3.4,3.4,0.0
302,3.0,3.0,0.0
303,3.6,3.6,0.0
304,3.7,3.7,0.0
305,4.1,4.1,0.0
306,4.1,4.1,0.0
307,4.0,4.0,0.0
308,4.7,4.7,0.0
309,5.8,5.8,0.0
310,6.6,6.6,0.0
311,5.7,5.7,0.0
312,6.5,6.5,0.0
313,6.3,6.3,0.0
314,5.8,5.8,0.0
315,5.4,5.4,0.0
316,3.7,3.7,0.0
317,5.1,5.1,0.0
318,5.3,5.3,0.0
319,4.1,4.1,0.0
320,4.3,4.3,0.0
321,5.3,5.3,0.0
322,4.6,4.6,0.0
323,5.4,5.4,0.0
324,6.8,6.8,0.0
325,7.2,7.2,0.0
326,7.4,7.4,0.0
327,7.6,7.6,0.0
328,7.8,7.8,0.0
329,8.0,8.0,0.0
330,8.1,8.1,0.0
331,8.3,8.3,0.0
332,8.6,8.6,0.0
333,8.9,8.9,0.0
334,9.2,9.2,0.0
335,9.6,9.6,0.0
336,9.3,9.3,0.0
337,8.9,8.9,0.0
338,10.1,10.1,0.0
339,10.1,10.1,0.0
340,10.4,10.4,0.0
341,10.8,10.8,0.0
342,11.2,11.2,0.0
343,11.4,11.4,0.0
344,11.3,11.3,0.0
345,11.3,11.3,0.0
