,truth,injected,class
0,6.3,6.3,0.0
1,5.8,5.8,0.0
2,6.9,6.9,0.0
3,7.3,7.3,0.0
4,7.0,7.0,0.0
5,7.2,7.2,0.0
6,6.3,6.3,0.0
7,7.1,7.1,0.0
8,7.0,7.0,0.0
9,6.3,6.3,0.0
10,7.2,7.2,0.0
11,6.5,6.5,0.0
12,6.4,6.4,0.0
13,6.1,6.1,0.0
14,6.1,6.1,0.0
15,6.1,6.1,0.0
16,5.4,5.4,0.0
17,5.5,5.5,0.0
18,5.6,5.6,0.0
19,6.1,6.1,0.0
20,6.1,6.1,0.0
21,5.8,5.8,0.0
22,5.8,5.8,0.0
23,5.9,5.9,0.0
24,5.9,5.9,0.0
25,7.1,7.1,0.0
26,7.4,7.4,1.0
27,6.9,8.0,1.0
28,6.0,8.2,1.0
29,5.5,8.8,1.0
30,5.4,9.8,1.0
31,6.0,11.5,1.0
32,6.1,12.7,1.0
33,5.2,12.900000000000002,1.0
34,5.8,14.600000000000001,1.0
35,5.8,15.7,1.0
36,5.1,16.1,1.0
37,5.6,17.700000000000003,1.0
38,5.8,19.0,1.0
39,6.6,20.9,1.0
40,6.8,22.200000000000003,1.0
41,6.9,23.4,1.0
42,7.1,24.700000000000003,1.0
43,7.2,25.900000000000002,1.0
44,8.0,27.8,1.0
45,7.9,28.800000000000004,1.0
46,8.1,30.1,1.0
47,8.9,32.0,1.0
48,9.9,34.1,1.0
49,10.5,35.8,1.0
50,11.0,37.400000000000006,1.0
51,11.6,39.1,1.0
52,11.5,40.1,1.0
53,11.8,41.5,1.0
54,11.8,42.60000000000001,1.0
55,11.8,43.7,1.0
56,11.9,43.800000000000004,0.0
57,12.2,44.1,0.0
58,12.3,44.2,0.0
59,12.6,44.5,0.0
60,12.7,44.6,0.0
61,12.7,44.6,0.0
62,12.8,44.7,0.0
63,13.1,45.0,0.0
64,13.0,44.900000000000006,0.0
65,13.1,45.0,0.0
66,13.3,45.2,0.0
67,13.4,45.300000000000004,0.0
68,13.6,45.5,0.0
69,13.9,45.800000000000004,0.0
70,14.0,45.900000000000006,0.0
71,13.9,45.800000000000004,0.0
72,13.8,45.7,0.0
73,14.0,45.900000000000006,0.0
74,14.1,46.0,0.0
75,14.2,46.1,0.0
76,14.2,46.1,0.0
77,14.4,46.300000000000004,0.0
78,14.6,46.5,0.0
79,14.6,46.5,0.0
80,14.8,46.7,0.0
81,14.8,46.7,0.0
82,15.2,47.1,0.0
83,15.1,47.0,0.0
84,15.2,47.1,0.0
85,14.9,46.800000000000004,0.0
86,15.2,47.1,0.0
87,15.6,47.5,0.0
88,15.4,47.300000000000004,0.0
89,15.3,47.2,0.0
90,15.1,47.0,0.0
91,15.1,47.0,0.0
92,14.9,46.800000000000004,0.0
93,14.7,46.6,0.0
94,14.8,46.7,0.0
95,15.0,46.900000000000006,0.0
96,14.6,46.5,0.0
97,14.6,46.5,0.0
98,14.4,46.300000000000004,0.0
