,truth,injected,class
0,3.4,3.4,0.0
1,3.4,3.4,0.0
2,4.0,4.0,0.0
3,3.4,3.4,0.0
4,3.0,3.0,0.0
5,3.6,3.6,0.0
6,3.7,3.7,0.0
7,4.1,4.1,0.0
8,4.1,4.1,0.0
9,4.0,4.0,0.0
10,4.7,4.7,0.0
11,5.8,5.8,0.0
12,6.6,6.6,0.0
13,5.7,5.7,0.0
14,6.5,6.5,0.0
15,6.3,6.3,0.0
16,5.8,5.8,0.0
17,5.4,5.4,0.0
18,3.7,3.7,0.0
19,5.1,5.1,0.0
20,5.3,5.3,0.0
21,4.1,4.1,0.0
22,4.3,4.3,0.0
23,5.3,5.3,0.0
24,4.6,4.6,0.0
25,5.4,5.4,0.0
26,6.8,6.8,0.0
27,7.2,7.2,0.0
28,7.4,7.4,0.0
29,7.6,7.6,0.0
30,7.8,7.8,0.0
31,8.0,8.0,0.0
32,8.1,8.1,0.0
33,8.3,8.3,0.0
34,8.6,8.6,0.0
35,8.9,8.9,0.0
36,9.2,9.2,0.0
37,9.6,9.6,0.0
38,9.3,9.3,0.0
39,8.9,8.9,0.0
40,10.1,10.1,0.0
41,10.1,10.1,0.0
42,10.4,10.4,0.0
43,10.8,10.8,0.0
44,11.2,11.2,0.0
45,11.4,11.4,0.0
46,11.3,11.3,0.0
47,11.3,11.3,0.0
48,11.4,11.4,0.0
49,11.7,11.7,0.0
50,12.1,12.1,0.0
51,11.7,11.7,0.0
52,12.0,12.0,0.0
53,11.8,11.8,0.0
54,11.9,11.9,0.0
55,12.5,12.5,0.0
56,12.5,12.5,0.0
57,12.2,12.2,0.0
58,12.4,12.4,0.0
59,12.5,12.5,0.0
60,12.7,12.7,0.0
61,12.8,12.8,0.0
62,12.4,12.4,0.0
63,12.4,12.4,0.0
64,12.6,12.6,0.0
65,12.7,12.999999999999998,1.0
66,13.1,14.3,1.0
67,13.1,13.1,1.0
68,13.1,13.1,1.0
69,13.3,13.900000000000004,1.0
70,13.6,14.499999999999996,1.0
71,13.5,13.200000000000001,1.0
72,13.2,12.299999999999997,1.0
73,13.1,12.8,1.0
74,13.1,13.1,1.0
75,13.3,13.3,0.0
76,13.1,13.1,0.0
77,13.2,13.2,0.0
78,13.4,13.4,0.0
79,13.6,13.6,0.0
80,13.8,13.8,0.0
81,13.8,13.8,0.0
82,13.9,13.9,0.0
83,13.7,13.7,0.0
84,13.8,13.8,0.0
85,13.7,13.7,0.0
86,13.7,13.7,0.0
87,13.9,13.9,0.0
88,13.9,13.9,0.0
89,13.6,13.6,0.0
90,13.4,13.4,0.0
91,13.0,13.0,0.0
92,12.6,12.6,0.0
93,12.6,12.6,0.0
94,12.7,12.7,0.0
95,12.4,12.4,0.0
96,10.5,10.5,0.0
97,9.0,9.0,0.0
98,8.6,8.6,0.0
99,10.1,10.1,0.0
100,10.0,10.0,0.0
101,9.6,9.6,0.0
102,8.7,8.7,0.0
103,10.0,10.0,0.0
104,10.1,10.1,0.0
105,9.7,9.7,0.0
106,9.4,9.4,0.0
107,9.3,9.3,0.0
108,9.0,9.0,0.0
109,8.8,8.8,0.0
110,8.4,8.4,0.0
111,8.9,8.9,0.0
112,9.0,9.0,0.0
113,9.1,9.1,0.0
114,9.3,9.3,0.0
115,8.8,8.8,0.0
116,9.4,9.4,0.0
117,9.3,9.3,0.0
118,9.2,9.2,0.0
119,8.7,8.7,0.0
120,8.7,8.7,0.0
121,9.0,9.0,0.0
122,8.8,8.8,0.0
123,8.5,8.5,0.0
124,8.2,8.2,0.0
125,8.3,8.3,0.0
126,8.6,8.6,0.0
127,8.6,8.6,0.0
