,truth,injected,class
0,6.63,6.63,0.0
1,6.63,6.63,0.0
2,6.63,6.63,0.0
3,6.63,6.63,0.0
4,6.63,6.63,0.0
5,6.75,6.75,0.0
6,6.75,6.75,0.0
7,6.75,6.75,0.0
8,6.88,6.88,0.0
9,6.75,6.75,0.0
10,6.75,6.75,0.0
11,6.75,6.75,0.0
12,6.75,6.75,0.0
13,6.75,6.75,0.0
14,6.75,6.75,0.0
15,6.63,6.63,0.0
16,6.63,6.63,0.0
17,6.63,6.63,0.0
18,6.63,6.63,0.0
19,6.63,6.63,0.0
20,6.63,6.63,0.0
21,6.5,6.5,0.0
22,6.5,6.5,0.0
23,6.5,6.5,0.0
24,6.5,6.5,0.0
25,6.5,6.5,0.0
26,6.5,6.5,0.0
27,6.63,6.63,0.0
28,6.63,6.63,0.0
29,6.63,6.63,0.0
30,6.63,6.63,0.0
31,6.63,6.63,0.0
32,6.63,6.63,0.0
33,6.63,6.63,0.0
34,6.63,6.63,0.0
35,6.63,6.63,0.0
36,6.63,6.63,0.0
37,6.63,6.63,0.0
38,6.63,6.63,0.0
39,6.63,6.63,0.0
40,6.63,6.63,0.0
41,6.63,6.63,0.0
42,6.75,6.75,0.0
43,6.75,6.75,0.0
44,6.63,6.63,0.0
45,6.63,6.63,0.0
46,6.63,6.63,0.0
47,6.63,6.63,0.0
48,6.63,6.63,0.0
49,6.75,6.75,0.0
50,6.88,6.88,0.0
51,6.88,6.88,0.0
52,7.0,7.0,0.0
53,7.0,7.0,0.0
54,7.0,7.0,0.0
55,7.0,7.0,0.0
56,7.0,7.0,0.0
57,7.0,7.0,0.0
58,6.88,6.88,0.0
59,6.88,6.88,0.0
60,6.75,6.75,0.0
61,6.75,6.75,0.0
62,6.75,6.75,0.0
63,6.63,6.63,0.0
64,6.63,6.63,0.0
65,6.63,6.63,0.0
66,6.63,6.63,0.0
67,6.63,6.63,0.0
68,6.63,6.63,0.0
69,6.63,6.63,0.0
70,6.63,6.63,0.0
71,6.75,6.75,0.0
72,6.88,6.88,0.0
73,6.88,6.88,0.0
74,6.88,6.88,0.0
75,6.88,6.88,0.0
76,6.75,6.75,0.0
77,6.75,6.75,0.0
78,6.63,6.63,0.0
79,6.63,6.63,0.0
80,6.75,6.75,0.0
81,6.63,6.63,0.0
82,6.63,6.63,0.0
83,6.63,6.63,0.0
84,6.63,6.63,0.0
85,6.63,6.63,0.0
86,6.63,6.63,0.0
87,6.75,6.75,0.0
88,6.75,6.75,0.0
89,6.75,6.75,0.0
90,6.63,6.63,0.0
91,6.63,6.63,0.0
92,6.63,6.63,0.0
93,6.63,6.63,0.0
94,6.63,6.63,0.0
95,6.63,6.63,0.0
96,6.5,6.5,0.0
97,6.5,6.5,0.0
98,6.5,6.5,0.0
99,6.38,6.38,0.0
100,6.38,6.38,0.0
101,6.38,6.38,0.0
102,6.38,6.38,0.0
103,6.5,6.5,0.0
104,6.5,6.5,0.0
105,6.5,6.5,0.0
106,6.5,6.5,0.0
107,6.5,6.5,1.0
108,6.5,6.5,1.0
109,6.5,6.5,1.0
110,6.5,6.5,1.0
111,6.38,6.02,1.0
112,6.38,6.38,1.0
113,6.38,6.38,1.0
114,6.38,6.38,1.0
115,6.38,6.38,1.0
116,6.38,6.38,1.0
117,6.38,6.38,0.0
118,6.5,6.5,0.0
119,6.5,6.5,0.0
120,6.38,6.38,0.0
121,6.38,6.38,0.0
122,6.5,6.5,0.0
123,6.5,6.5,0.0
124,6.38,6.38,0.0
125,6.38,6.38,0.0
126,6.38,6.38,0.0
127,6.38,6.38,0.0
128,6.38,6.38,0.0
129,6.5,6.5,0.0
130,6.63,6.63,0.0
131,6.5,6.5,0.0
132,6.38,6.38,0.0
133,6.38,6.38,0.0
134,6.38,6.38,0.0
135,6.5,6.5,0.0
136,6.5,6.5,0.0
137,6.63,6.63,0.0
138,6.75,6.75,0.0
139,6.75,6.75,0.0
140,6.75,6.75,0.0
141,6.75,6.75,0.0
142,6.75,6.75,0.0
143,6.75,6.75,0.0
144,6.63,6.63,0.0
145,6.63,6.63,0.0
146,6.88,6.88,0.0
147,6.75,6.75,0.0
148,6.75,6.75,0.0
149,6.75,6.75,0.0
