,truth,injected,class
0,6.3,6.3,0.0
1,5.8,5.8,0.0
2,6.9,6.9,0.0
3,7.3,7.3,0.0
4,7.0,7.0,0.0
5,7.2,7.2,0.0
6,6.3,6.3,0.0
7,7.1,7.1,0.0
8,7.0,7.0,0.0
9,6.3,6.3,0.0
10,7.2,7.2,0.0
11,6.5,6.5,0.0
12,6.4,6.4,0.0
13,6.1,6.1,0.0
14,6.1,6.1,0.0
15,6.1,6.1,0.0
16,5.4,5.4,0.0
17,5.5,5.5,0.0
18,5.6,5.6,0.0
19,6.1,6.1,0.0
20,6.1,6.1,0.0
21,5.8,5.8,0.0
22,5.8,5.8,0.0
23,5.9,5.9,0.0
24,5.9,5.9,0.0
25,7.1,7.1,0.0
26,7.4,7.4,0.0
27,6.9,6.9,0.0
28,6.0,6.0,0.0
29,5.5,5.5,0.0
30,5.4,5.4,0.0
31,6.0,6.0,0.0
32,6.1,6.1,0.0
33,5.2,5.2,0.0
34,5.8,5.8,0.0
35,5.8,5.8,0.0
36,5.1,5.1,0.0
37,5.6,5.6,0.0
38,5.8,5.8,0.0
39,6.6,6.6,0.0
40,6.8,6.8,0.0
41,6.9,6.9,0.0
42,7.1,7.1,0.0
43,7.2,7.2,0.0
44,8.0,8.0,0.0
45,7.9,7.9,0.0
46,8.1,8.1,0.0
47,8.9,8.9,0.0
48,9.9,9.9,0.0
49,10.5,10.5,0.0
50,11.0,11.0,1.0
51,11.6,12.7,1.0
52,11.5,13.7,1.0
53,11.8,15.100000000000001,1.0
54,11.8,16.200000000000003,1.0
55,11.8,17.3,1.0
56,11.9,18.5,1.0
57,12.2,19.9,1.0
58,12.3,21.1,1.0
59,12.6,22.5,1.0
60,12.7,22.6,0.0
61,12.7,22.6,0.0
62,12.8,22.700000000000003,0.0
63,13.1,23.0,0.0
64,13.0,22.9,0.0
65,13.1,23.0,0.0
66,13.3,23.200000000000003,0.0
67,13.4,23.3,0.0
68,13.6,23.5,0.0
69,13.9,23.8,0.0
70,14.0,23.9,0.0
71,13.9,23.8,0.0
72,13.8,23.700000000000003,0.0
73,14.0,23.9,0.0
74,14.1,24.0,0.0
75,14.2,24.1,0.0
76,14.2,24.1,0.0
77,14.4,24.3,0.0
78,14.6,24.5,0.0
79,14.6,24.5,0.0
80,14.8,24.700000000000003,0.0
81,14.8,24.700000000000003,0.0
82,15.2,25.1,0.0
83,15.1,25.0,0.0
84,15.2,25.1,0.0
85,14.9,24.8,0.0
86,15.2,25.1,0.0
87,15.6,25.5,0.0
88,15.4,25.3,0.0
89,15.3,25.200000000000003,0.0
90,15.1,25.0,0.0
91,15.1,25.0,0.0
92,14.9,24.8,0.0
93,14.7,24.6,0.0
94,14.8,24.700000000000003,0.0
95,15.0,24.9,0.0
96,14.6,24.5,0.0
97,14.6,24.5,0.0
98,14.4,24.3,0.0
