,truth,injected,class
33,6.63,6.63,0.0
34,6.63,6.63,0.0
35,6.63,6.63,0.0
36,6.63,6.63,0.0
37,6.63,6.63,0.0
38,6.63,6.63,0.0
39,6.63,6.63,0.0
40,6.63,6.63,0.0
41,6.63,6.63,0.0
55,7.0,7.0,0.0
56,7.0,7.0,0.0
57,7.0,7.0,0.0
58,6.88,6.88,0.0
59,6.88,6.88,0.0
60,6.75,6.75,0.0
61,6.75,6.75,0.0
62,6.75,6.75,0.0
63,6.63,6.63,0.0
64,6.63,6.63,0.0
65,6.63,6.63,0.0
66,6.63,6.63,0.0
67,6.63,6.63,0.0
68,6.63,6.63,0.0
69,6.63,6.63,0.0
70,6.63,6.63,0.0
71,6.75,6.393454278713907,1.0
72,6.88,6.523454278713908,1.0
73,6.88,6.523454278713908,1.0
74,6.88,6.523454278713908,1.0
75,6.88,6.523454278713908,1.0
76,6.75,6.393454278713907,1.0
77,6.75,6.393454278713907,1.0
78,6.63,6.273454278713908,1.0
79,6.63,6.273454278713908,1.0
80,6.75,6.393454278713907,1.0
81,6.63,6.63,0.0
82,6.63,6.63,0.0
83,6.63,6.63,0.0
84,6.63,6.63,0.0
85,6.63,6.63,0.0
86,6.63,6.63,0.0
87,6.75,6.75,0.0
88,6.75,6.75,0.0
89,6.75,6.75,0.0

