cts_nbr,imr,screen,rpca,cdrec
1,0.07177326757590993,0.11992035789145188,0.0725690098355329,0.0725690098355329
2,0.09160604505828936,0.13276155989942345,0.09251247063258156,0.09251247063258156
3,0.10113259064424598,0.13901720629333644,0.10253796607035001,0.10253796607035001
4,0.10341996937794393,0.14102274809406742,0.10522522947809042,0.10522522947809042
5,0.11141547041053575,0.1469633321699633,0.11348103989906518,0.11348103989906518
6,0.14102969079233305,0.25936735374312064,0.1422393829424248,0.1422393829424248
7,0.16383988022441362,0.36981441117114966,0.16619086115359505,0.16619086115359505
8,0.18333151421279403,0.4568759288902913,0.1870107718506466,0.1870107718506466
9,0.20019031582181215,0.5271439011054144,0.2050237019645534,0.2050237019645534
10,0.20902064273036702,0.5421302032421148,0.21416450280592858,0.21416450280592858
