cts_nbr,imr,screen,rpca,weightedcdrec
1,0.4489291676689632,0.028552347490055696,0.006532486077782128,0.004921828943703093
2,0.4635760729650466,0.029062047168211584,0.02984181204535523,0.08196962113213796
3,0.4608161722746206,0.03105029664446815,0.03177257359324909,0.0762435162569795
4,0.4725777858159692,0.031282235912087675,0.033917893523286044,0.06713883330553337
5,0.4823846627769674,0.030318131239428392,0.03490980559367323,0.0586211858791761
6,0.49558434605885826,0.030194867708482266,0.030871266777524792,0.052025842679744014
7,0.49766361291157657,0.03039045391704445,0.028473408417458063,0.04885319781828373
8,0.49790256904259245,0.029747202209188736,0.0430226752966886,0.08067530420788427
9,0.49337006117509435,0.03040873103661552,0.04051738368603538,0.08335610042543164
10,0.48810491652749766,0.03026829491912063,0.05481552787498709,0.11635918333140494
