cts_nbr,imr,screen,rpca,weightedcdrec
1,3.0696848834350012,0.844481537378118,0.14692309440850626,0.13888239020049775
2,3.1912064909994933,0.8245651658042188,0.34460184137187305,0.21001399335733562
3,3.241984924042859,0.8350106420285957,0.23950738586131948,0.13971048555521784
4,3.3253521374956763,0.8729433923517361,0.25273581232480535,0.18753028013813708
5,3.1025789815456353,0.8302402638660626,0.4364266351760063,0.3086043552465279
6,2.7427649428835603,0.8642269775981717,0.36652966956397565,0.38716237523772434
7,2.8203390088984603,0.8755174455216647,0.30561431653766985,0.33758995915587076
8,2.5722975544977644,0.8250755890467263,0.28405697449374395,0.4224826055681074
9,2.6912245078726973,0.8420008969466937,0.2677308039952361,0.3923961704348188
10,2.7768680692360874,0.8429823421078435,0.2529884307481692,0.3645588745712075
