cts_nbr,imr,screen,rpca,weightedcdrec
1,0.4348622897797594,0.4189471415573855,0.0040720728273953444,0.0011769316720833462
2,0.5673282858496234,0.49447836055966077,0.006041315150039291,0.022899850520373098
3,0.5496828037559496,0.4796335887832415,0.0046416750324800625,0.0044036517432196505
4,0.7622071596695322,0.5373736067639738,0.005242580067382344,0.06520972163970201
5,0.8598022049144352,0.5871201205661803,0.03065671270954056,0.07887602848135981
6,0.8550367662586066,0.565665845768856,0.028459817878438858,0.06588985816428707
7,0.8235471919366091,0.563563610901038,0.035459428646009636,0.07550753579805237
8,0.7950987212757094,0.5631155849687017,0.056569137475858705,0.10252600017605637
9,0.7783360024716054,0.5605976307186584,0.05915698590194587,0.11828424958208758
10,0.7739766275632429,0.5631772716298284,0.0917954179605933,0.17380429232440256
