cts_nbr,imr,screen,rpca,weightedcdrec
1,3.428430432024657,3.3857619519323583,1.0614078788951633,0.9486487878532752
2,4.465967922776308,4.162284395171319,1.2657355474196625,1.2000844551849221
3,3.957445035447047,3.75889471557727,1.6338159350592247,1.9099770806797332
4,4.5247940454942075,4.128496132963625,1.2889905008060907,1.5037388730860477
5,4.27792654751421,3.985703058773604,1.2951756617180146,1.5343486074843407
6,4.522802489842236,4.181474123603609,1.098286409021095,1.2943800505517271
7,4.034002558952717,3.74578990904831,1.0485701687773012,1.216312549998412
8,4.1885553628724415,3.875953778034476,0.9302504273467078,1.0919810314685934
9,4.3459692561145316,4.048034566111297,0.9559469876670078,1.1089911516365814
10,4.548223364302766,4.177091376634644,1.0864037758963692,1.2205449867759595
